Ingredient,Category,Purchase Size,Purchase Unit,Purchase Cost,Cost Per Recipe Unit,Recipe Unit,Supplier,Last Updated,Notes
Parmesan,Cheese,,,,,,,,
Vegan Cheese,Cheese,,,,,,,,
Oats,Grain,,,,,,,,
Eggs,Egg,,,,,,,,
Hard Boiled Eggs,Egg,,,,,,,,
Chocolate Chips,Topping,,,,,,,,
Cacao Nibs,Topping,32,oz,$37.99,$1.1872,oz,Amazon,07-16-2026,
Cranberries,Topping,,,,,,,,
Goji Berries,Topping,,,,,,,,
Coconut Shreds,Topping,,,,,,,,
Granola,Topping,200,oz,$84.95,$0.4248,oz,Sysco,07-16-2026,
Craisins,Topping,,,,,,,,
Walnuts,Nuts and Seeds,,,,,,,,
Almonds,Nuts and Seeds,,,,,,,,
Chia Seeds,Nuts and Seeds,,,,,,,,
Flax Seeds,Nuts and Seeds,,,,,,,,
Coconut Oil,Oil,,,,,,,,
Olive Oil,Oil,,,,,,,,
Pam Spray,Oil,,,,,,,,
Cilantro,Dressing,,,,,,,,
Parsley,Dressing,,,,,,,,
Dill,Dressing,,,,,,,,
Dijon,Dressing,,,,,,,,
White Balsamic Vinegar,Dressing,,,,,,,,
Orange Juice,Dressing,,,,,,,,
Minced Garlic,Dressing,,,,,,,,
Mexican Sour Cream,Dressing,,,,,,,,
Anchovy Paste,Dressing,,,,,,,,
Mike's Hot Honey,Dressing,,,,,,,,
Ketchup,Dressing,,,,,,,,
Sriracha,Dressing,,,,,,,,
Dressing Cups,Packaging,,,,,,,,
Gloves,Packaging,,,,,,,,
16oz Acai Bowl,Packaging,500,each,$117.24,$0.2345,each,Imperial Dade,07-14-2026,
16oz Acai Bowl Lid,Packaging,500,each,$74.96,$0.1499,each,Imperial Dade,07-14-2026,
32oz Shell Salad Bowl & Lid,Packaging,,,,,,,,
12oz Branded Hot Cup,Packaging,,,,,,,,Coffee
12oz Hot Lid,Packaging,,,,,,,,Coffee
16oz Branded Hot Cup,Packaging,,,,,,,,Coffee
16oz Hot Lid,Packaging,,,,,,,,Coffee
16oz Branded Cold Cup,Packaging,,,,,,,,Coffee
16oz Cold Lid,Packaging,,,,,,,,Coffee
20oz Branded Cup,Packaging,1000,each,$295.82,$0.2958,each,Your Brand Cafe,07-14-2026,"Smoothie, 29 cents each"
20oz Lid,Packaging,1000,each,$33.36,$0.0334,each,Your Brand Cafe,07-14-2026,"Smoothie, 3 cents each"
24oz Branded Cold Cup,Packaging,,,,,,,,Coffee
24oz Cold Lid,Packaging,,,,,,,,Coffee
32oz Branded Cup,Packaging,1000,each,$420.82,$0.4208,each,Your Brand Cafe,07-14-2026,Energy
