Menu Item,Ingredient ID,Ingredient,Ingredient Category,Amount Used,Recipe Unit,Notes
Orange Lime Rickey,PWD-ZIPFIZZ,Zipfizz,Powder,1.0,each,1 zipfizz
Orange Lime Rickey,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,3.0,fl oz,3 oz tea
Orange Lime Rickey,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.22,oz,EST - 1 heaping spoon limeade
Orange Lime Rickey,JUI-LIME_JUICE,Lime Juice,Juice,1.0,fl oz,1 oz
Orange Lime Rickey,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Orange Lime Rickey,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Orange Lime Rickey,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Iced Tea,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,12.0,fl oz,EST - fills iced 32oz cup
Iced Tea,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Iced Tea,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Iced Tea,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Arnold Palmer,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,12.0,fl oz,"EST - 3/4 way, iced cup"
Arnold Palmer,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,2 lemonade bev mix
Arnold Palmer,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Arnold Palmer,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Arnold Palmer,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Blueberry Lemon Iced Tea,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,12.0,fl oz,"EST - 3/4 way, iced cup"
Blueberry Lemon Iced Tea,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,2 lemonade bev mix
Blueberry Lemon Iced Tea,FRZ-BLUEBERRIES,Blueberries,Frozen Fruit,0.68,oz,EST - 1 scoop
Blueberry Lemon Iced Tea,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Blueberry Lemon Iced Tea,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Blueberry Lemon Iced Tea,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Pink Flamingo,JUI-GRAPE_JUICE,Grape Juice,Juice,4.0,fl oz,4 oz white grape juice
Pink Flamingo,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,2 strawberry bev mix
Pink Flamingo,MLK-COCONUT_MILK,Coconut Milk,Milk,8.0,fl oz,EST - fill to top of iced cup
Pink Flamingo,FRZ-STRAWBERRIES,Strawberries,Frozen Fruit,0.5,oz,EST - 1 diced medium strawberry
Pink Flamingo,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Pink Flamingo,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Pink Flamingo,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Strawberry Acai Lemonade,JUI-GRAPE_JUICE,Grape Juice,Juice,8.0,fl oz,EST - half of iced cup
Strawberry Acai Lemonade,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.44,oz,EST - heaping strawberry + lemonade
Strawberry Acai Lemonade,PWD-ACAI,Acai,Powder,0.02,oz,1/4 tsp acai powder
Strawberry Acai Lemonade,FRZ-STRAWBERRIES,Strawberries,Frozen Fruit,0.5,oz,EST - 1 diced strawberry
Strawberry Acai Lemonade,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Strawberry Acai Lemonade,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Strawberry Acai Lemonade,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Glow Getter Collagen,PWD-COLLAGEN,Collagen,Powder,0.15,oz,EST - 1 scoop
Glow Getter Collagen,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,1 margarita + 1 raspberry
Glow Getter Collagen,FRZ-STRAWBERRIES,Strawberries,Frozen Fruit,0.5,oz,EST - 1 diced strawberry
Glow Getter Collagen,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Glow Getter Collagen,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Glow Getter Collagen,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Orange Creamsicle,DRS-ORANGE_JUICE,Orange Juice,Dressing,6.0,fl oz,6 oz
Orange Creamsicle,MLK-COCONUT_MILK,Coconut Milk,Milk,4.0,fl oz,4 oz
Orange Creamsicle,FRZ-MANGOES,Mangoes,Frozen Fruit,4.0,oz,1/2 20oz cup
Orange Creamsicle,PRP-COCONUT_CUBES,Coconut Cubes,Prepared Ingredient,5.0,cubes,5 cubes
Orange Creamsicle,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.8,oz,1 clear scoop
Orange Creamsicle,EXT-VANILLA_EXTRACT,Vanilla Extract,Extract,1.5,ml,3 droppers
Orange Creamsicle,SWT-AGAVE,Agave,Sweetener,0.5,oz,2 circles
Orange Creamsicle,YOG-COCONUT_YOGURT,Coconut Yogurt,Yogurt,2.09,oz,1 blue scoop (2 fl oz)
Orange Creamsicle,CRM-COCONUT_WHIPPED_CREAM,Coconut Whipped Cream,Cream,0.5,oz,EST - topped with
Orange Creamsicle,PKG-20OZ_BRANDED_CUP,20oz Branded Cup,Packaging,1.0,each,
Orange Creamsicle,PKG-20OZ_LID,20oz Lid,Packaging,1.0,each,
Orange Creamsicle,PKG-SMOOTHIE_STRAW,Smoothie Straw,Packaging,1.0,each,
Avocado Greens,BRD-SOURDOUGH,Sourdough,Bread,1.0,each,"1 slice, toasted longwise"
Avocado Greens,VEG-AVOCADO,Avocado,Vegetable,1.0,each,"1 avocado, smashed"
Avocado Greens,JUI-LIME_JUICE,Lime Juice,Juice,0.28,fl oz,EST - drizzle + 1/2 tsp
Avocado Greens,SEA-EVERYTHING,Everything,Seasoning,0.15,oz,EST - in mix + 1/2 tsp on top
Avocado Greens,VEG-ARUGULA,Arugula,Vegetable,0.5,oz,EST - chopped on top
Avocado Greens,PKG-TOAST_CONTAINERS,Toast Containers,Packaging,1.0,each,
Avocado Greens,PKG-6_TOAST_PARCHMENT,"6"" Toast Parchment",Packaging,1.0,each,
The Hot Date,BRD-SOURDOUGH,Sourdough,Bread,1.0,each,"1 slice, toasted longwise"
The Hot Date,SPR-ALMOND_BUTTER,Almond Butter,Spread,1.0,oz,EST - spread
The Hot Date,SWT-HONEY,Honey,Sweetener,0.25,oz,EST - drizzle
The Hot Date,FSH-DATES,Dates,Fresh Fruit,2.0,oz,EST - 3-4 chopped
The Hot Date,SEA-PINK_SALT,Pink Salt,Seasoning,0.02,oz,EST - good pinch
The Hot Date,NUT-ALMONDS,Almonds,Nuts and Seeds,0.47,oz,EST - scoop slivered
The Hot Date,SEA-CINNAMON,Cinnamon,Seasoning,0.03,oz,EST - dusting
The Hot Date,PKG-TOAST_CONTAINERS,Toast Containers,Packaging,1.0,each,
The Hot Date,PKG-6_TOAST_PARCHMENT,"6"" Toast Parchment",Packaging,1.0,each,
Berry Nutella,BRD-SOURDOUGH,Sourdough,Bread,1.0,each,"1 slice, toasted longwise"
Berry Nutella,SPR-NUTELLA,Nutella,Spread,1.0,oz,EST - spread
Berry Nutella,FSH-STRAWBERRIES,Strawberries,Fresh Fruit,1.5,oz,EST - sliced on top
Berry Nutella,PKG-TOAST_CONTAINERS,Toast Containers,Packaging,1.0,each,
Berry Nutella,PKG-6_TOAST_PARCHMENT,"6"" Toast Parchment",Packaging,1.0,each,
Healthy Hummus,BRD-SOURDOUGH,Sourdough,Bread,1.0,each,"1 slice, toasted longwise"
Healthy Hummus,SPR-HUMMUS,Hummus,Spread,2.0,oz,EST - thick layer
Healthy Hummus,SEA-EVERYTHING,Everything,Seasoning,0.15,oz,EST - sprinkled twice
Healthy Hummus,VEG-ARUGULA,Arugula,Vegetable,0.35,oz,EST
Healthy Hummus,VEG-SPINACH,Spinach,Vegetable,0.35,oz,EST
Healthy Hummus,JUI-LEMON_JUICE,Lemon Juice,Juice,0.2,fl oz,EST - drizzle
Healthy Hummus,OIL-OLIVE_OIL,Olive Oil,Oil,0.2,fl oz,EST - drizzle
Healthy Hummus,PKG-TOAST_CONTAINERS,Toast Containers,Packaging,1.0,each,
Healthy Hummus,PKG-6_TOAST_PARCHMENT,"6"" Toast Parchment",Packaging,1.0,each,
Peanut Butter Banana & Honey,BRD-SOURDOUGH,Sourdough,Bread,1.0,each,"1 slice, toasted longwise"
Peanut Butter Banana & Honey,SPR-PEANUT_BUTTER,Peanut Butter,Spread,1.0,oz,EST - spread
Peanut Butter Banana & Honey,FSH-BANANAS,Bananas,Fresh Fruit,2.0,oz,EST - sliced on top
Peanut Butter Banana & Honey,SWT-HONEY,Honey,Sweetener,0.25,oz,EST - drizzle
Peanut Butter Banana & Honey,NUT-CHIA_SEEDS,Chia Seeds,Nuts and Seeds,0.1,oz,EST - sprinkle
Peanut Butter Banana & Honey,PKG-TOAST_CONTAINERS,Toast Containers,Packaging,1.0,each,
Peanut Butter Banana & Honey,PKG-6_TOAST_PARCHMENT,"6"" Toast Parchment",Packaging,1.0,each,
Chocolate Peanut Butter Chip Buoys,GRN-OATS,Oats,Grain,0.25,oz,2/3 cup per batch of 16
Chocolate Peanut Butter Chip Buoys,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.2,oz,1/4 cup per batch
Chocolate Peanut Butter Chip Buoys,TOP-CHOCOLATE_CHIPS,Chocolate Chips,Topping,0.47,oz,1/4 cup in mix + EST melted drizzle
Chocolate Peanut Butter Chip Buoys,SPR-PEANUT_BUTTER,Peanut Butter,Spread,0.75,oz,3/4 cup per batch
Chocolate Peanut Butter Chip Buoys,SWT-HONEY,Honey,Sweetener,0.37,oz,1/4 cup per batch
Chocolate Peanut Butter Chip Buoys,NUT-CHIA_SEEDS,Chia Seeds,Nuts and Seeds,0.02,oz,1 tsp per batch
Chocolate Peanut Butter Chip Buoys,OIL-COCONUT_OIL,Coconut Oil,Oil,0.04,fl oz,"EST - 2 tsp per batch, for melting"
Chocolate Peanut Butter Chip Buoys,PKG-BUOY_BOXES,Buoy Boxes,Packaging,1.0,each,
Chocolate Peanut Butter Chip Buoys,PKG-2_ROUND_BUOY_PARCHMENT,"2"" Round Buoy Parchment",Packaging,1.0,each,
Almond Joy Buoys,GRN-OATS,Oats,Grain,0.25,oz,2/3 cup per batch of 16
Almond Joy Buoys,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.2,oz,1/4 cup per batch
Almond Joy Buoys,TOP-CHOCOLATE_CHIPS,Chocolate Chips,Topping,0.47,oz,1/4 cup in mix + EST melted drizzle
Almond Joy Buoys,TOP-COCONUT_SHREDS,Coconut Shreds,Topping,0.14,oz,1/4 cup in mix + EST sprinkle
Almond Joy Buoys,NUT-ALMONDS,Almonds,Nuts and Seeds,0.12,oz,1/4 cup per batch
Almond Joy Buoys,SPR-ALMOND_BUTTER,Almond Butter,Spread,0.74,oz,3/4 cup per batch
Almond Joy Buoys,SWT-HONEY,Honey,Sweetener,0.37,oz,1/4 cup per batch
Almond Joy Buoys,EXT-COCONUT_EXTRACT,Coconut Extract,Extract,0.12,ml,2 droppers per batch
Almond Joy Buoys,NUT-CHIA_SEEDS,Chia Seeds,Nuts and Seeds,0.02,oz,1 tsp per batch
Almond Joy Buoys,PKG-BUOY_BOXES,Buoy Boxes,Packaging,1.0,each,
Almond Joy Buoys,PKG-2_ROUND_BUOY_PARCHMENT,"2"" Round Buoy Parchment",Packaging,1.0,each,
Topping: Spinach,VEG-SPINACH,Spinach,Vegetable,0.18,oz,EST - 5 leaves
Topping: Avocado,VEG-AVOCADO,Avocado,Vegetable,0.33,each,one third
Topping: Strawberries,FSH-STRAWBERRIES,Strawberries,Fresh Fruit,1.5,oz,EST
Topping: Blueberries,FSH-BLUEBERRIES,Blueberries,Fresh Fruit,1.0,oz,matches pilot Acai bowl
Topping: Pineapple,FRZ-PINEAPPLE,Pineapple,Frozen Fruit,1.5,oz,EST - no fresh pineapple in db
Topping: Banana,FSH-BANANAS,Bananas,Fresh Fruit,2.0,oz,matches pilot Acai bowl
Topping: Dates,FSH-DATES,Dates,Fresh Fruit,1.0,oz,EST
Topping: Cacao Nibs,TOP-CACAO_NIBS,Cacao Nibs,Topping,0.6,oz,1 scoop
Topping: Chocolate Chips,TOP-CHOCOLATE_CHIPS,Chocolate Chips,Topping,0.75,oz,1 scoop
Topping: Peanut Butter,SPR-PEANUT_BUTTER,Peanut Butter,Spread,1.0,oz,1 scoop
Topping: Almond Butter,SPR-ALMOND_BUTTER,Almond Butter,Spread,1.0,oz,1 scoop
Topping: Nutella,SPR-NUTELLA,Nutella,Spread,0.7,oz,matches pilot Acai bowl
Topping: Walnuts,NUT-WALNUTS,Walnuts,Nuts and Seeds,0.49,oz,1 scoop
Topping: Almonds,NUT-ALMONDS,Almonds,Nuts and Seeds,0.47,oz,1 scoop
Topping: Chia Seeds,NUT-CHIA_SEEDS,Chia Seeds,Nuts and Seeds,0.09,oz,1 small scoop
Topping: Flax Seeds,NUT-FLAX_SEEDS,Flax Seeds,Nuts and Seeds,0.07,oz,EST - 1 small scoop
Topping: Goji Berries,TOP-GOJI_BERRIES,Goji Berries,Topping,0.5,oz,EST
Topping: Coconut,TOP-COCONUT_SHREDS,Coconut Shreds,Topping,0.36,oz,1 scoop
Topping: Spirulina,PWD-SPIRULINA,Spirulina,Powder,0.07,oz,1 small scoop
Topping: Collagen,PWD-COLLAGEN,Collagen,Powder,0.42,oz,EST - 1 scoop
Acai Mixed Berry Bowl,FSH-STRAWBERRIES,Strawberries,Fresh Fruit,1.5,oz,representative topping - bowls include any 4 and this is the standard set
Acai Mixed Berry Bowl,FSH-BLUEBERRIES,Blueberries,Fresh Fruit,1,oz,representative topping - bowls include any 4 and this is the standard set
Acai Mixed Berry Bowl,FSH-BANANAS,Bananas,Fresh Fruit,2,oz,representative topping - bowls include any 4 and this is the standard set
Acai Mixed Berry Bowl,SPR-PEANUT_BUTTER,Peanut Butter,Spread,1,oz,representative topping - bowls include any 4 and this is the standard set
Banana Bowl,FSH-STRAWBERRIES,Strawberries,Fresh Fruit,1.5,oz,representative topping - bowls include any 4 and this is the standard set
Banana Bowl,FSH-BLUEBERRIES,Blueberries,Fresh Fruit,1,oz,representative topping - bowls include any 4 and this is the standard set
Banana Bowl,FSH-BANANAS,Bananas,Fresh Fruit,2,oz,representative topping - bowls include any 4 and this is the standard set
Banana Bowl,SPR-PEANUT_BUTTER,Peanut Butter,Spread,1,oz,representative topping - bowls include any 4 and this is the standard set
Coconut Bowl,FSH-STRAWBERRIES,Strawberries,Fresh Fruit,1.5,oz,representative topping - bowls include any 4 and this is the standard set
Coconut Bowl,FSH-BLUEBERRIES,Blueberries,Fresh Fruit,1,oz,representative topping - bowls include any 4 and this is the standard set
Coconut Bowl,FSH-BANANAS,Bananas,Fresh Fruit,2,oz,representative topping - bowls include any 4 and this is the standard set
Coconut Bowl,SPR-PEANUT_BUTTER,Peanut Butter,Spread,1,oz,representative topping - bowls include any 4 and this is the standard set
Pineapple Mango Bowl,FSH-STRAWBERRIES,Strawberries,Fresh Fruit,1.5,oz,representative topping - bowls include any 4 and this is the standard set
Pineapple Mango Bowl,FSH-BLUEBERRIES,Blueberries,Fresh Fruit,1,oz,representative topping - bowls include any 4 and this is the standard set
Pineapple Mango Bowl,FSH-BANANAS,Bananas,Fresh Fruit,2,oz,representative topping - bowls include any 4 and this is the standard set
Pineapple Mango Bowl,SPR-PEANUT_BUTTER,Peanut Butter,Spread,1,oz,representative topping - bowls include any 4 and this is the standard set
Strawberry Bowl,FSH-STRAWBERRIES,Strawberries,Fresh Fruit,1.5,oz,representative topping - bowls include any 4 and this is the standard set
Strawberry Bowl,FSH-BLUEBERRIES,Blueberries,Fresh Fruit,1,oz,representative topping - bowls include any 4 and this is the standard set
Strawberry Bowl,FSH-BANANAS,Bananas,Fresh Fruit,2,oz,representative topping - bowls include any 4 and this is the standard set
Strawberry Bowl,SPR-PEANUT_BUTTER,Peanut Butter,Spread,1,oz,representative topping - bowls include any 4 and this is the standard set
Oatmeal Bowl,FSH-STRAWBERRIES,Strawberries,Fresh Fruit,1.5,oz,representative topping - bowls include any 4 and this is the standard set
Oatmeal Bowl,FSH-BLUEBERRIES,Blueberries,Fresh Fruit,1,oz,representative topping - bowls include any 4 and this is the standard set
Oatmeal Bowl,FSH-BANANAS,Bananas,Fresh Fruit,2,oz,representative topping - bowls include any 4 and this is the standard set
Oatmeal Bowl,SPR-PEANUT_BUTTER,Peanut Butter,Spread,1,oz,representative topping - bowls include any 4 and this is the standard set
Yogurt Bowl,FSH-STRAWBERRIES,Strawberries,Fresh Fruit,1.5,oz,representative topping - bowls include any 4 and this is the standard set
Yogurt Bowl,FSH-BLUEBERRIES,Blueberries,Fresh Fruit,1,oz,representative topping - bowls include any 4 and this is the standard set
Yogurt Bowl,FSH-BANANAS,Bananas,Fresh Fruit,2,oz,representative topping - bowls include any 4 and this is the standard set
Yogurt Bowl,SPR-PEANUT_BUTTER,Peanut Butter,Spread,1,oz,representative topping - bowls include any 4 and this is the standard set
