Menu Item,Ingredient ID,Ingredient,Ingredient Category,Amount Used,Recipe Unit,Notes
Chocolate Strawberry,PWD-CACAO_POWDER,Cacao Powder,Powder,0.21,oz,3 scoops @ 1/3 tbsp
Chocolate Strawberry,EXT-VANILLA_EXTRACT,Vanilla Extract,Extract,1.5,ml,3 full droppers
Chocolate Strawberry,SWT-HONEY,Honey,Sweetener,0.5,oz,2 circles
Chocolate Strawberry,FRZ-STRAWBERRIES,Strawberries,Frozen Fruit,8.1,oz,1 beaker
Chocolate Strawberry,TOP-CHOCOLATE_CHIPS,Chocolate Chips,Topping,0.75,oz,"1 scoop, pulsed in"
Chocolate Strawberry,SYR-CHOCOLATE_SAUCE,Chocolate Sauce,Syrup,0.25,fl oz,EST - cup drizzle
Chocolate Strawberry,PKG-20OZ_BRANDED_CUP,20oz Branded Cup,Packaging,1.0,each,
Chocolate Strawberry,PKG-20OZ_LID,20oz Lid,Packaging,1.0,each,
Chocolate Strawberry,PKG-SMOOTHIE_STRAW,Smoothie Straw,Packaging,1.0,each,
Heavenly Hazelnut,MLK-ALMOND_MILK,Almond Milk,Milk,10.0,fl oz,
Heavenly Hazelnut,PWD-CHOCOLATE_PROTEIN,Chocolate Protein,Powder,0.8,oz,1 scoop
Heavenly Hazelnut,PWD-CACAO_POWDER,Cacao Powder,Powder,0.07,oz,1 scoop @ 1/3 tbsp
Heavenly Hazelnut,SPR-ALMOND_BUTTER,Almond Butter,Spread,1.98,oz,2 scoops @ 2 tbsp
Heavenly Hazelnut,SYR-CHOCOLATE_SAUCE,Chocolate Sauce,Syrup,0.25,fl oz,EST - 1 pump Monin
Heavenly Hazelnut,SYR-TORANI_HAZELNUT,Torani Hazelnut,Syrup,0.5,fl oz,EST - 2 pumps
Heavenly Hazelnut,SWT-AGAVE,Agave,Sweetener,0.25,oz,1 circle
Heavenly Hazelnut,FRZ-BANANAS,Bananas,Frozen Fruit,3.6,oz,1/2 beaker
Heavenly Hazelnut,PRP-COCONUT_CUBES,Coconut Cubes,Prepared Ingredient,4.0,cubes,
Heavenly Hazelnut,PKG-20OZ_BRANDED_CUP,20oz Branded Cup,Packaging,1.0,each,
Heavenly Hazelnut,PKG-20OZ_LID,20oz Lid,Packaging,1.0,each,
Heavenly Hazelnut,PKG-SMOOTHIE_STRAW,Smoothie Straw,Packaging,1.0,each,
Matcha Mango,MLK-ALMOND_MILK,Almond Milk,Milk,10.0,fl oz,
Matcha Mango,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.8,oz,1 scoop
Matcha Mango,PWD-MATCHA,Matcha,Powder,0.22,oz,1 tbsp scoop
Matcha Mango,EXT-VANILLA_EXTRACT,Vanilla Extract,Extract,1.0,ml,2 full droppers
Matcha Mango,SWT-HONEY,Honey,Sweetener,0.5,oz,2 circles
Matcha Mango,VEG-SPINACH,Spinach,Vegetable,0.18,oz,EST - 5 leaves
Matcha Mango,FRZ-BANANAS,Bananas,Frozen Fruit,3.6,oz,1/2 beaker
Matcha Mango,FRZ-MANGOES,Mangoes,Frozen Fruit,4.0,oz,1/2 beaker
Matcha Mango,PKG-20OZ_BRANDED_CUP,20oz Branded Cup,Packaging,1.0,each,
Matcha Mango,PKG-20OZ_LID,20oz Lid,Packaging,1.0,each,
Matcha Mango,PKG-SMOOTHIE_STRAW,Smoothie Straw,Packaging,1.0,each,
Mint Chocolate Chip,MLK-ALMOND_MILK,Almond Milk,Milk,10.0,fl oz,
Mint Chocolate Chip,PWD-CHOCOLATE_PROTEIN,Chocolate Protein,Powder,0.8,oz,1 scoop
Mint Chocolate Chip,PWD-CACAO_POWDER,Cacao Powder,Powder,0.14,oz,2 scoops @ 1/3 tbsp
Mint Chocolate Chip,PWD-SPIRULINA,Spirulina,Powder,0.07,oz,1 scoop @ 1/4 tbsp
Mint Chocolate Chip,EXT-MINT_EXTRACT,Mint Extract,Extract,1.0,ml,2 full droppers
Mint Chocolate Chip,VEG-SPINACH,Spinach,Vegetable,0.28,oz,EST - 8 leaves
Mint Chocolate Chip,FRZ-BANANAS,Bananas,Frozen Fruit,7.2,oz,1 beaker
Mint Chocolate Chip,PRP-COCONUT_CUBES,Coconut Cubes,Prepared Ingredient,2.0,cubes,
Mint Chocolate Chip,TOP-CHOCOLATE_CHIPS,Chocolate Chips,Topping,0.75,oz,"1 scoop, pulsed in"
Mint Chocolate Chip,SYR-CHOCOLATE_SAUCE,Chocolate Sauce,Syrup,0.25,fl oz,EST - cup drizzle
Mint Chocolate Chip,PKG-20OZ_BRANDED_CUP,20oz Branded Cup,Packaging,1.0,each,
Mint Chocolate Chip,PKG-20OZ_LID,20oz Lid,Packaging,1.0,each,
Mint Chocolate Chip,PKG-SMOOTHIE_STRAW,Smoothie Straw,Packaging,1.0,each,
Pineapple Colada,MLK-COCONUT_MILK,Coconut Milk,Milk,10.0,fl oz,
Pineapple Colada,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.8,oz,1 scoop
Pineapple Colada,TOP-COCONUT_SHREDS,Coconut Shreds,Topping,0.5,oz,1 scoop blended + EST sprinkle on top
Pineapple Colada,EXT-COCONUT_EXTRACT,Coconut Extract,Extract,1.0,ml,2 full droppers
Pineapple Colada,SWT-AGAVE,Agave,Sweetener,0.25,oz,1 circle
Pineapple Colada,FRZ-PINEAPPLE,Pineapple,Frozen Fruit,4.75,oz,1/2 beaker
Pineapple Colada,PRP-COCONUT_CUBES,Coconut Cubes,Prepared Ingredient,6.0,cubes,
Pineapple Colada,PKG-20OZ_BRANDED_CUP,20oz Branded Cup,Packaging,1.0,each,
Pineapple Colada,PKG-20OZ_LID,20oz Lid,Packaging,1.0,each,
Pineapple Colada,PKG-SMOOTHIE_STRAW,Smoothie Straw,Packaging,1.0,each,
Strawberry Banana,MLK-ALMOND_MILK,Almond Milk,Milk,10.0,fl oz,
Strawberry Banana,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.8,oz,1 scoop
Strawberry Banana,EXT-VANILLA_EXTRACT,Vanilla Extract,Extract,1.5,ml,3 full droppers
Strawberry Banana,SWT-AGAVE,Agave,Sweetener,0.25,oz,1 circle
Strawberry Banana,FRZ-BANANAS,Bananas,Frozen Fruit,3.6,oz,1/2 beaker
